freq,unit,age,sex,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,NR,TOTAL,T,EU27_2007	498867771 b	498674980 b	499771980 b	500900868 	502988282 b	504294889 b	505991205 	507224359 b	508266507 p	509395430 ep
A,NR,TOTAL,T,EU27_2020	440660421 b	439942305 b	440552661 b	441257711 	442883888 b	443666812 b	444802830 	445534430 b	446098424 p	446824564 ep
A,NR,TOTAL,T,EU28	503170618 b	502964837 b	504047964 b	505163008 	507235091 b	508520205 b	510181874 	511378572 b	512372000 p	513471676 ep
A,NR,TOTAL,T,FI	5351427 	5375276 	5401267 	5426674 	5451270 	5471753 	5487308 	5503297 	5513130 	5517919 
A,NR,TOTAL,T,FR	64658856 	64978721 	65276983 b	65600350 	66165980 b	66458153 	66638391 	66809816 	66918941 p	67012883 p
A,NR,TOTAL,T,FX	62765235 	63070344 	63375971 	63697865 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,T,GE	4436391 	4469250 	4497617 	: 	4490498 	3729500 	3720400 	3718200 	3729633 	3723464 
A,NR,TOTAL,T,HR	4302847 	4289857 	4275984 	4262140 	4246809 	4225316 	4190669 	4154213 	4105493 	4076246 
A,NR,TOTAL,T,HU	10014324 	9985722 	9931925 b	9908798 	9877365 	9855571 	9830485 	9797561 	9778371 	9772756 
A,NR,TOTAL,T,IE	4549428 	4570881 	4589287 	4609779 	4637852 	4677627 	4726286 	4784383 	4830392 	4904240 e
A,NR,TOTAL,T,IS	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 	348450 	356991 
A,NR,TOTAL,T,IT	59190143 	59364690 	59394207 	59685227 	60782668 	60795612 	60665551 	60589445 	60483973 	60359546 
A,NR,TOTAL,T,LI	35894 	36149 	36475 	36838 	37129 	37366 	37622 	37810 	38114 	38378 
A,NR,TOTAL,T,LT	3141976 	3052588 	3003641 	2971905 	2943472 	2921262 	2888558 	2847904 	2808901 	2794184 
A,NR,TOTAL,T,LU	502066 	511840 	524853 b	537039 	549680 	562958 	576249 	590667 b	602005 	613894 
A,NR,TOTAL,T,LV	2120504 	2074605 	2044813 	2023825 	2001468 	1986096 	1968957 	1950116 	1934379 	1919968 
A,NR,TOTAL,T,MD	3563695 	3560430 	3559541 	3559497 	3557634 	3555159 	: 	3550852 	: 	: 
A,NR,TOTAL,T,ME	619001 	619850 	620308 	620893 	621521 	622099 	622218 	622387 	622359 	622182 
A,NR,TOTAL,T,MK	2052722 	2057284 	2059794 	2062294 	2065769 	2069172 	2071278 	2073702 	2075301 	2077132 
A,NR,TOTAL,T,MT	414027 	414989 	417546 	422509 	429424 	439691 	450415 	460297 	475701 	493559 
A,NR,TOTAL,T,NL	16574989 	16655799 	16730348 	16779575 	16829289 	16900726 	16979120 	17081507 	17181084 	17282163 
A,NR,TOTAL,T,NO	4858199 	4920305 	4985870 	5051275 	5107970 	5166493 	5210721 	5258317 	5295619 	5328212 
A,NR,TOTAL,T,PL	38022869 b	38062718 	38063792 	38062535 	38017856 	38005614 	37967209 	37972964 	37976687 	37972812 
A,NR,TOTAL,T,PT	10573479 	10572721 	10542398 	10487289 	10427301 	10374822 	10341330 	10309573 	10291027 	10276617 
A,NR,TOTAL,T,RO	20294683 	20199059 	20095996 	20020074 	19947311 	19870647 	19760585 	19643949 	19530631 	19414458 
A,NR,TOTAL,T,RS	7306677 	7251549 b	7216649 	7181505 	7146759 	7114393 	7076372 	7040272 	7001444 	6963764 
A,NR,TOTAL,T,RU	141914509 	142856536 	143056383 	: 	143666931 	: 	: 	: 	: 	: 
A,NR,TOTAL,T,SE	9340682 	9415570 	9482855 	9555893 	9644864 	9747355 	9851017 	9995153 	10120242 	10230185 
A,NR,TOTAL,T,SI	2046976 	2050189 	2055496 	2058821 	2061085 	2062874 	2064188 	2065895 	2066880 	2080908 
A,NR,TOTAL,T,SK	5390410 	5392446 	5404322 	5410836 	5415949 	5421349 	5426252 	5435343 	5443120 	5450421 
A,NR,TOTAL,T,SM	: 	31863 	33376 	33562 	: 	: 	: 	: 	34453 	: 
A,NR,TOTAL,T,TR	72561312 	73722988 	74724269 	75627384 	76667864 	77695904 	78741053 	79814871 	80810525 	82003882 
A,NR,TOTAL,T,UA	45782592 	45598179 	45453282 	45372692 	45245894 	42759661 b	42590879 	42414905 	42216766 	41983564 
A,NR,TOTAL,T,UK	62510197 	63022532 	63495088 	63905342 	64351203 	64853393 	65379044 	65844142 	66273576 	66647112 
A,NR,TOTAL,T,XK	2208107 	1794180 b	: p	: 	: 	: 	1771604 p	1783531 	1798506 	1795666 
